,colonnes
0,AttendanceTimeSeconds
1,InLondon
2,NumPumpsAttending
3,TimeOfCall
4,distFromStation
5,DeployedFromSt_ACTON
6,DeployedFromSt_ADDINGTON
7,DeployedFromSt_BARKING
8,DeployedFromSt_BARNET
9,DeployedFromSt_BATTERSEA
10,DeployedFromSt_BECKENHAM
11,DeployedFromSt_BETHNALGREEN
12,DeployedFromSt_BEXLEY
13,DeployedFromSt_BIGGINHILL
14,DeployedFromSt_BRIXTON
15,DeployedFromSt_BROMLEY
16,DeployedFromSt_CHELSEA
17,DeployedFromSt_CHINGFORD
18,DeployedFromSt_CHISWICK
19,DeployedFromSt_CLAPHAM
20,DeployedFromSt_CROYDON
21,DeployedFromSt_DAGENHAM
22,DeployedFromSt_DEPTFORD
23,DeployedFromSt_DOCKHEAD
24,DeployedFromSt_DOWGATE
25,DeployedFromSt_EALING
26,DeployedFromSt_EASTGREENWICH
27,DeployedFromSt_EASTHAM
28,DeployedFromSt_EDMONTON
29,DeployedFromSt_ELTHAM
30,DeployedFromSt_ENFIELD
31,DeployedFromSt_ERITH
32,DeployedFromSt_EUSTON
33,DeployedFromSt_FELTHAM
34,DeployedFromSt_FINCHLEY
35,DeployedFromSt_FORESTHILL
36,DeployedFromSt_FULHAM
37,DeployedFromSt_GREENWICH
38,DeployedFromSt_HAINAULT
39,DeployedFromSt_HAMMERSMITH
40,DeployedFromSt_HAROLDHILL
41,DeployedFromSt_HARROW
42,DeployedFromSt_HAYES
43,DeployedFromSt_HEATHROW
44,DeployedFromSt_HENDON
45,DeployedFromSt_HESTON
46,DeployedFromSt_HILLINGDON
47,DeployedFromSt_HOLLOWAY
48,DeployedFromSt_HOMERTON
49,DeployedFromSt_HORNCHURCH
50,DeployedFromSt_HORNSEY
51,DeployedFromSt_ILFORD
52,DeployedFromSt_ISLINGTON
53,DeployedFromSt_KENSINGTON
54,DeployedFromSt_KENTISHTOWN
55,DeployedFromSt_KINGSTON
56,DeployedFromSt_LAMBETH
57,DeployedFromSt_LEEGREEN
58,DeployedFromSt_LEWISHAM
59,DeployedFromSt_LEYTON
60,DeployedFromSt_LEYTONSTONE
61,DeployedFromSt_MILLHILL
62,DeployedFromSt_MILLWALL
63,DeployedFromSt_MITCHAM
64,DeployedFromSt_NEWCROSS
65,DeployedFromSt_NEWMALDEN
66,DeployedFromSt_NORBURY
67,DeployedFromSt_NORTHKENSINGTON
68,DeployedFromSt_NORTHOLT
69,DeployedFromSt_OLDKENTROAD
70,DeployedFromSt_ORPINGTON
71,DeployedFromSt_PADDINGTON
72,DeployedFromSt_PARKROYAL
73,DeployedFromSt_PECKHAM
74,DeployedFromSt_PLAISTOW
75,DeployedFromSt_PLUMSTEAD
76,DeployedFromSt_POPLAR
77,DeployedFromSt_PURLEY
78,DeployedFromSt_RICHMOND
79,DeployedFromSt_ROMFORD
80,DeployedFromSt_RUISLIP
81,DeployedFromSt_SHADWELL
82,DeployedFromSt_SHOREDITCH
83,DeployedFromSt_SIDCUP
84,DeployedFromSt_SOHO
85,DeployedFromSt_SOUTHALL
86,DeployedFromSt_SOUTHGATE
87,DeployedFromSt_STANMORE
88,DeployedFromSt_STOKENEWINGTON
89,DeployedFromSt_STRATFORD
90,DeployedFromSt_SURBITON
91,DeployedFromSt_SUTTON
92,DeployedFromSt_TOOTING
93,DeployedFromSt_TOTTENHAM
94,DeployedFromSt_TWICKENHAM
95,DeployedFromSt_WALLINGTON
96,DeployedFromSt_WALTHAMSTOW
97,DeployedFromSt_WANDSWORTH
98,DeployedFromSt_WEMBLEY
99,DeployedFromSt_WENNINGTON
100,DeployedFromSt_WESTHAMPSTEAD
101,DeployedFromSt_WESTNORWOOD
102,DeployedFromSt_WHITECHAPEL
103,DeployedFromSt_WILLESDEN
104,DeployedFromSt_WIMBLEDON
105,DeployedFromSt_WOODFORD
106,DeployedFromSt_WOODSIDE
107,PlusCode_Additiontofirstattendance
108,PlusCode_InitialMobilisation
109,PlusCode_Runningcall
110,Borough_NOTGEOCODED
111,Borough_BARKINGANDDAGENHAM
112,Borough_BARNET
113,Borough_BEXLEY
114,Borough_BRENT
115,Borough_BROMLEY
116,Borough_CAMDEN
117,Borough_CITYOFLONDON
118,Borough_CROYDON
119,Borough_EALING
120,Borough_ENFIELD
121,Borough_GREENWICH
122,Borough_HACKNEY
123,Borough_HAMMERSMITHANDFULHAM
124,Borough_HARINGEY
125,Borough_HARROW
126,Borough_HAVERING
127,Borough_HILLINGDON
128,Borough_HOUNSLOW
129,Borough_ISLINGTON
130,Borough_KENSINGTONANDCHELSEA
131,Borough_KINGSTONUPONTHAMES
132,Borough_LAMBETH
133,Borough_LEWISHAM
134,Borough_MERTON
135,Borough_NEWHAM
136,Borough_REDBRIDGE
137,Borough_RICHMONDUPONTHAMES
138,Borough_SOUTHWARK
